#1
double PHeat(11,6)					
-1	0.2	0.4	0.6	0.8	1
298.15	0.436251389	0.591885126	0.926204655	1.23897249	1.28827451
303.15	0.436251389	0.591885126	0.926204655	1.23897249	1.28827451
308.15	0.434421801	0.587129485	0.91075558	1.211665286	1.244473389
313.15	0.434421801	0.587129485	0.91075558	1.211665286	1.244473389
318.15	0.419011204	0.570266106	0.888582633	1.158361345	1.254159664
323.15	0.419011204	0.570266106	0.888582633	1.158361345	1.254159664
328.15	0.432422969	0.577504202	0.879481793	1.156570182	1.29035014
333.15	0.432422969	0.577504202	0.879481793	1.156570182	1.29035014
338.15	0.431731092	0.572448179	0.873787115	1.128557423	1.217436975
343.15	0.431731092	0.572448179	0.873787115	1.128557423	1.217436975
					
double DeltaT(11,6)					
-1	0.2	0.4	0.6	0.8	1
298.15	0.8176	0.8772	0.9879	1.02165	0.99575
303.15	0.8176	0.8772	0.9879	1.02165	0.99575
308.15	0.74295	0.81455	0.96995	0.9298	0.95405
313.15	0.74295	0.81455	0.96995	0.9298	0.95405
318.15	0.6578	0.72735	0.82855	0.84505	0.8643
323.15	0.6578	0.72735	0.82855	0.84505	0.8643
328.15	0.6591	0.70975	0.8056	0.8304	0.87515
333.15	0.6591	0.70975	0.8056	0.8304	0.87515
338.15	0.6456	0.70195	0.78595	0.80055	0.823
343.15	0.6456	0.70195	0.78595	0.80055	0.823
					
double EffHeat(11,6)					
-1	0.2	0.4	0.6	0.8	1
298.15	1	0.993855636	0.99347518	0.98640821	0.996632965
303.15	1	0.993855636	0.99347518	0.98640821	0.996632965
308.15	0.958834663	0.962477529	0.971779678	0.965302415	0.973615378
313.15	0.958834663	0.962477529	0.971779678	0.965302415	0.973615378
318.15	0.932259813	0.941029324	0.947135642	0.950008085	0.944662678
323.15	0.932259813	0.941029324	0.947135642	0.950008085	0.944662678
328.15	0.91721278	0.918249522	0.940763004	0.938680008	0.938109324
333.15	0.91721278	0.918249522	0.940763004	0.938680008	0.938109324
338.15	0.916023855	0.927656296	0.930167306	0.937757402	0.937453037
343.15	0.916023855	0.927656296	0.930167306	0.937757402	0.937453037

double StartUp(301,3)      
                    0 0.000 0.000
                    1 0.001 0.023
                    2 0.007 0.271
                    3 0.009 0.395
                    4 0.015 0.612
                    5 0.049 0.718
                    6 0.098 0.731
                    7 0.108 0.725
                    8 0.118 0.716
                    9 0.126 0.717
                   10 0.129 0.717
                   11 0.135 0.718
                   12 0.156 0.718
                   13 0.188 0.715
                   14 0.224 0.714
                   15 0.260 0.714
                   16 0.291 0.713
                   17 0.319 0.711
                   18 0.341 0.708
                   19 0.360 0.706
                   20 0.377 0.703
                   21 0.390 0.700
                   22 0.401 0.699
                   23 0.413 0.697
                   24 0.420 0.694
                   25 0.428 0.694
                   26 0.436 0.696
                   27 0.439 0.694
                   28 0.439 0.691
                   29 0.437 0.689
                   30 0.433 0.686
                   31 0.426 0.685
                   32 0.417 0.681
                   33 0.403 0.669
                   34 0.396 0.671
                   35 0.387 0.670
                   36 0.376 0.667
                   37 0.364 0.663
                   38 0.356 0.662
                   39 0.346 0.661
                   40 0.338 0.661
                   41 0.332 0.660
                   42 0.327 0.659
                   43 0.321 0.656
                   44 0.316 0.652
                   45 0.313 0.649
                   46 0.312 0.648
                   47 0.311 0.647
                   48 0.311 0.644
                   49 0.312 0.642
                   50 0.314 0.642
                   51 0.318 0.642
                   52 0.321 0.640
                   53 0.320 0.632
                   54 0.322 0.628
                   55 0.327 0.628
                   56 0.333 0.631
                   57 0.336 0.627
                   58 0.337 0.621
                   59 0.342 0.620
                   60 0.348 0.622
                   61 0.354 0.623
                   62 0.360 0.623
                   63 0.366 0.624
                   64 0.373 0.625
                   65 0.381 0.628
                   66 0.388 0.631
                   67 0.399 0.639
                   68 0.416 0.656
                   69 0.426 0.664
                   70 0.430 0.661
                   71 0.436 0.663
                   72 0.448 0.673
                   73 0.456 0.679
                   74 0.463 0.684
                   75 0.471 0.690
                   76 0.475 0.692
                   77 0.482 0.696
                   78 0.488 0.700
                   79 0.492 0.704
                   80 0.496 0.707
                   81 0.504 0.714
                   82 0.513 0.724
                   83 0.521 0.730
                   84 0.526 0.736
                   85 0.533 0.742
                   86 0.541 0.749
                   87 0.547 0.753
                   88 0.553 0.759
                   89 0.563 0.769
